primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Define if collections are absolutely needed or more like job settings (design question),AMI Data Management Working Gro,25,Define if collections are absolutely needed or more like job settings (design question),Data Processing/Design,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Collections)",,,,,,,,,,,,,,,,,,,,,,,
"Display user's seen occurrences in ""My Antenna""",AMI Data Management Working Gro,26,"Display user's seen occurrences in ""My Antenna""",User Interface/Data Display,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 ""My Antenna""",,,,,,,,,,,,,,,,,,,,,,,
"Display projects user is part of/manager of in ""My Antenna""",AMI Data Management Working Gro,27,"Display projects user is part of/manager of in ""My Antenna""",User Interface/User/Project Management,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 ""My Antenna""",,,,,,,,,,,,,,,,,,,,,,,
"Display user's focused species in ""My Antenna""",AMI Data Management Working Gro,28,"Display user's focused species in ""My Antenna""",User Interface/Data Display/Species Management,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 ""My Antenna""",,,,,,,,,,,,,,,,,,,,,,,
"Expose more details about each pipeline (ID, URL, version) in customizable pipelines feature",AMI Data Management Working Gro,29,"Expose more details about each pipeline (ID, URL, version) in customizable pipelines feature",Customizable Pipelines/Data Display,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Notes (Customizable pipelines)",,,,,,,,,,,,,,,,,,,,,,,
"Add ""active/inactive"" field for pipelines, show inactive pipelines below, and make them unselectable for new data processing",AMI Data Management Working Gro,30,"Add ""active/inactive"" field for pipelines, show inactive pipelines below, and make them unselectable for new data processing",Customizable Pipelines/User Interface,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Notes (Customizable pipelines)",,,,,,,,,,,,,,,,,,,,,,,
Make Access Key for pipelines visible (not a password field),AMI Data Management Working Gro,31,Make Access Key for pipelines visible (not a password field),Customizable Pipelines/User Interface/Security,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Notes (Customizable pipelines)",,,,,,,,,,,,,,,,,,,,,,,
Implement Private projects (MVP feature),AMI Data Management Working Gro,32,Implement Private projects (MVP feature),Project Management/Security,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (MVP features)",,,,,,,,,,,,,,,,,,,,,,,
Get contribution agreements in writing,AMI Data Management Working Gro,33,Get contribution agreements in writing,Legal/Project Management,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Notes (General)",,,,,,,,,,,,,,,,,,,,,,,
Define how credit will be given,AMI Data Management Working Gro,34,Define how credit will be given,Project Management/Attribution,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Notes (General)",,,,,,,,,,,,,,,,,,,,,,,
Use modularity to help divide ownership,AMI Data Management Working Gro,35,Use modularity to help divide ownership,Architecture/Design,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Notes (General)",,,,,,,,,,,,,,,,,,,,,,,
Decide on the platform name,AMI Data Management Working Gro,36,Decide on the platform name,Project Management/Branding,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Notes (General)",,,,,,,,,,,,,,,,,,,,,,,
"Ensure platform interoperability, trap agnostic, and modular design",AMI Data Management Working Gro,37,"Ensure platform interoperability, trap agnostic, and modular design",Architecture/Design,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Quentin)",,,,,,,,,,,,,,,,,,,,,,,
"Define validation protocol to reach ""research-grade""",AMI Data Management Working Gro,38,"Define validation protocol to reach ""research-grade""",Validation/Protocol,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Agenda",,,,,,,,,,,,,,,,,,,,,,,
Use iNaturalist (for validation/privacy) and Creative Commons as benchmarks,AMI Data Management Working Gro,39,Use iNaturalist (for validation/privacy) and Creative Commons as benchmarks,Validation/Privacy/Protocol,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes",,,,,,,,,,,,,,,,,,,,,,,
"Implement multi-level (Curator, expert, etc.) point-based validation/curation (eButterfly model)",AMI Data Management Working Gro,40,"Implement multi-level (Curator, expert, etc.) point-based validation/curation (eButterfly model)",Validation/Protocol,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes",,,,,,,,,,,,,,,,,,,,,,,
Need consumer service to scale up (Suggested: Rodrigo),AMI Data Management Working Gro,41,Need consumer service to scale up (Suggested: Rodrigo),Infrastructure/Support,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes",,,,,,,,,,,,,,,,,,,,,,,
Obfuscating exact device location (Sensitive/Fuzzy privacy),AMI Data Management Working Gro,42,Obfuscating exact device location (Sensitive/Fuzzy privacy),Data Privacy,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Agenda & Notes",,,,,,,,,,,,,,,,,,,,,,,
"Provide more guidance/documentation on collections (definition, purpose, how to use, strategy)",AMI Data Management Working Gro,43,"Provide more guidance/documentation on collections (definition, purpose, how to use, strategy)",Documentation/Guidance/Data Management,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Collections)",,,,,,,,,,,,,,,,,,,,,,,
Implement default or automatic collections,AMI Data Management Working Gro,44,Implement default or automatic collections,Collections/User Interface,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Collections)",,,,,,,,,,,,,,,,,,,,,,,
"Investigate/Implement containerisation for massively parallel (10,000 core+) image processing",AMI Data Management Working Gro,45,"Investigate/Implement containerisation for massively parallel (10,000 core+) image processing",Infrastructure/ML Backend,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Action items (Michael Bunsen)",,,,,,,,,,,,,,,,,,,,,,,
"Online platform for ML-assisted monitoring of arthropods (Agile software pipeline, new algorithms/research, friendly/efficient UI)",AMI Data Management Working Gro,46,"Online platform for ML-assisted monitoring of arthropods (Agile software pipeline, new algorithms/research, friendly/efficient UI)",Platform Vision/Core Goal,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Michael Bunsen)",,,,,,,,,,,,,,,,,,,,,,,
Implement sustainable business/partner model,AMI Data Management Working Gro,47,Implement sustainable business/partner model,Strategy/Business,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (Beyond)",,,,,,,,,,,,,,,,,,,,,,,
Prioritize documentation for the verification process,AMI Data Management Working Gro,48,Prioritize documentation for the verification process,Documentation/Support,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Training & Support",,,,,,,,,,,,,,,,,,,,,,,
"""Not identifiable based on current image"" quick action",AMI Data Management Working Gro,49,"""Not identifiable based on current image"" quick action",Annotation/Verification/UI,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Need for “quick actions”)",,,,,,,,,,,,,,,,,,,,,,,
"""Never identifiable based on image"" quick action",AMI Data Management Working Gro,50,"""Never identifiable based on image"" quick action",Annotation/Verification/UI,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Need for “quick actions”)",,,,,,,,,,,,,,,,,,,,,,,
"""I personally can not ID this"" quick action",AMI Data Management Working Gro,51,"""I personally can not ID this"" quick action",Annotation/Verification/UI,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Need for “quick actions”)",,,,,,,,,,,,,,,,,,,,,,,
"""Incorrect (based on my knowledge)"" quick reaction",AMI Data Management Working Gro,52,"""Incorrect (based on my knowledge)"" quick reaction",Annotation/Verification/UI,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Some quick actions will be “reactions”)",,,,,,,,,,,,,,,,,,,,,,,
"""Family/genus/tribe correct"" quick reaction",AMI Data Management Working Gro,53,"""Family/genus/tribe correct"" quick reaction",Annotation/Verification/UI,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Some quick actions will be “reactions”)",,,,,,,,,,,,,,,,,,,,,,,
Ability to validate both low-confidence and high-confidence predictions,AMI Data Management Working Gro,54,Ability to validate both low-confidence and high-confidence predictions,Annotation/Verification,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Request for the ability to validate...)",,,,,,,,,,,,,,,,,,,,,,,
Provide a list of species to choose from for validation/annotation,AMI Data Management Working Gro,55,Provide a list of species to choose from for validation/annotation,Annotation/User Interface/Taxonomy,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Useful to have list of species...)",,,,,,,,,,,,,,,,,,,,,,,
Record if the suggestion was manually typed or accepted from a proposition,AMI Data Management Working Gro,56,Record if the suggestion was manually typed or accepted from a proposition,Annotation/Data Tracking,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (We do record whether the user manually typed...)",,,,,,,,,,,,,,,,,,,,,,,
Support experts in finding the correct species within the tool,AMI Data Management Working Gro,57,Support experts in finding the correct species within the tool,Annotation/User Interface/Expert Support,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Should the tool support experts finding the correct species?)",,,,,,,,,,,,,,,,,,,,,,,
Consider mitigating psychological/positional bias in accepting proposed labels,AMI Data Management Working Gro,58,Consider mitigating psychological/positional bias in accepting proposed labels,Annotation/User Interface/Design,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Consideration for psychological bias...)",,,,,,,,,,,,,,,,,,,,,,,
Provide a mechanism for regional experts to flag instances for further investigation,AMI Data Management Working Gro,59,Provide a mechanism for regional experts to flag instances for further investigation,Annotation/Verification/Expert Support,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Regional experts might flag instances...)",,,,,,,,,,,,,,,,,,,,,,,
Model suggestions for impossible-to-ID species (confusion matrix) and handling of cryptic species split geographically,AMI Data Management Working Gro,60,Model suggestions for impossible-to-ID species (confusion matrix) and handling of cryptic species split geographically,ML Backend/Taxonomy,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (The model should also be able to suggest...)",,,,,,,,,,,,,,,,,,,,,,,
"Distinguish between ""no more fine-grained labels available"" and ""need for more information to label"" prediction limitations",AMI Data Management Working Gro,61,"Distinguish between ""no more fine-grained labels available"" and ""need for more information to label"" prediction limitations",ML Backend/Annotation,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Two different types of limitations in predictions...)",,,,,,,,,,,,,,,,,,,,,,,
Display Top 3 labels with confidence score/uncertainty measures,AMI Data Management Working Gro,62,Display Top 3 labels with confidence score/uncertainty measures,Annotation/Data Display/ML Backend,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Top 3 with their confidence score...)",,,,,,,,,,,,,,,,,,,,,,,
Develop a formula to extract year (YEAR function) from the date in column A to fill column C (Example Row),AMI Data Management Working Gro,63,Develop a formula to extract year (YEAR function) from the date in column A to fill column C (Example Row),Formula/Data Processing,User Query (Example Row),,,,,,,,,,,,,,,,,,,,,,,
Filtering: Find a clear way to do it yet,AMI Data Management Working Gro,64,Filtering: Find a clear way to do it yet,Filtering/User Interface,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes (Lars: But there is no clear way to do it yet)",,,,,,,,,,,,,,,,,,,,,,,
Work on new uncertainty measurements,AMI Data Management Working Gro,65,Work on new uncertainty measurements,ML Backend/Research,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Marc)",,,,,,,,,,,,,,,,,,,,,,,
Implement Flatbug and AMBER models,AMI Data Management Working Gro,66,Implement Flatbug and AMBER models,ML Backend/Models,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Agenda",,,,,,,,,,,,,,,,,,,,,,,
"Experiment with multiple models (order-level classifier, object detection/clustering)",AMI Data Management Working Gro,67,"Experiment with multiple models (order-level classifier, object detection/clustering)",ML Backend/Models/Research,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Notes (AMBER: Experimenting with multiple models)",,,,,,,,,,,,,,,,,,,,,,,
"Display multiple labels in a ""suggest ID"" section for re-identification",AMI Data Management Working Gro,68,"Display multiple labels in a ""suggest ID"" section for re-identification",Annotation/User Interface,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Displaying multiple labels may not be very useful...)",,,,,,,,,,,,,,,,,,,,,,,
"Clarify the term ""Collections"" with alternatives like ""Sample set,"" ""Lists,"" ""Datasets""",AMI Data Management Working Gro,69,"Clarify the term ""Collections"" with alternatives like ""Sample set,"" ""Lists,"" ""Datasets""",Data Management/Terminology,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Naming of terms",,,,,,,,,,,,,,,,,,,,,,,
"Define the Validation protocol and how to reach ""research-grade""",AMI Data Management Working Gro,70,"Define the Validation protocol and how to reach ""research-grade""",Validation/Protocol,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Agenda",,,,,,,,,,,,,,,,,,,,,,,
Register existing projects and process 2 years of data (Next 6 months),AMI Data Management Working Gro,71,Register existing projects and process 2 years of data (Next 6 months),Data Ingestion/Project Management,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline",,,,,,,,,,,,,,,,,,,,,,,
Open to the public for read-only review (Next 6 months),AMI Data Management Working Gro,72,Open to the public for read-only review (Next 6 months),Launch/Access,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline",,,,,,,,,,,,,,,,,,,,,,,
Implement Better algorithms (MVP feature),AMI Data Management Working Gro,73,Implement Better algorithms (MVP feature),ML Backend,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (MVP features)",,,,,,,,,,,,,,,,,,,,,,,
Exporting data (General Topic),AMI Data Management Working Gro,74,Exporting data (General Topic),Data Management/Export,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 General Topics",,,,,,,,,,,,,,,,,,,,,,,
User interface (General Topic),AMI Data Management Working Gro,75,User interface (General Topic),User Interface,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 General Topics",,,,,,,,,,,,,,,,,,,,,,,
ML backend (General Topic),AMI Data Management Working Gro,76,ML backend (General Topic),ML Backend,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 General Topics",,,,,,,,,,,,,,,,,,,,,,,
API (General Topic),AMI Data Management Working Gro,77,API (General Topic),API/Integration,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 General Topics",,,,,,,,,,,,,,,,,,,,,,,
Functionality needs for specific projects (General Topic),AMI Data Management Working Gro,78,Functionality needs for specific projects (General Topic),Project Management/Features,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 General Topics",,,,,,,,,,,,,,,,,,,,,,,
Assign and train a person at each partner org (Insectarium),AMI Data Management Working Gro,79,Assign and train a person at each partner org (Insectarium),Training/Support/External,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Training & Support",,,,,,,,,,,,,,,,,,,,,,,
Support for Costa Rica and Singapore regions/models,AMI Data Management Working Gro,80,Support for Costa Rica and Singapore regions/models,Regions/ML Backend,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Notes (AMBER: Regions with models)",,,,,,,,,,,,,,,,,,,,,,,
Use JASMIN for storage,AMI Data Management Working Gro,81,Use JASMIN for storage,Infrastructure/Tech,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Notes (AMBER: Tech)",,,,,,,,,,,,,,,,,,,,,,,
Multiple projects & users,Wallingford 2023 TODO list,1,Multiple projects & users,User Management,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
Registration & map of camera deployments (metadata),Wallingford 2023 TODO list,2,Registration & map of camera deployments (metadata),Data Management,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
Taxonomy API & shared database,Wallingford 2023 TODO list,3,Taxonomy API & shared database,Backend/Data,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
Collaborative identification or validation,Wallingford 2023 TODO list,4,Collaborative identification or validation,Collaboration/Data Quality,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
"ML processing done via web API, support for any language or framework",Wallingford 2023 TODO list,5,"ML processing done via web API, support for any language or framework",ML Backend,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
Manual image uploading from UI or background sync of large datasets,Wallingford 2023 TODO list,6,Manual image uploading from UI or background sync of large datasets,Data Ingestion,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
Reprocessing of same objects,Wallingford 2023 TODO list,7,Reprocessing of same objects,Data Processing,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
"Ability to share links to occurrences, sessions or summaries",Wallingford 2023 TODO list,8,"Ability to share links to occurrences, sessions or summaries",Collaboration/Sharing,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
"Background job system, logging per job",Wallingford 2023 TODO list,9,"Background job system, logging per job",Infrastructure/Backend,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
"Model registry, links to experiment details in WandB",Wallingford 2023 TODO list,10,"Model registry, links to experiment details in WandB",ML Backend,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5",,,,,,,,,,,,,,,,,,,,,
"Quality control of every stage, before & after processing",Wallingford 2023 TODO list,11,"Quality control of every stage, before & after processing",Data Quality,,Core Feature,"AMI Platform Presentation - Dec 7, 2023: Slide 5 (Note)",,,,,,,,,,,,,,,,,,,,,
Exports,Wallingford 2023 TODO list,12,Exports,Data Management,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
Display top N predictions,Wallingford 2023 TODO list,13,Display top N predictions,UI/Display,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
Private vs. Public projects. Fix permission boundaries.,Wallingford 2023 TODO list,14,Private vs. Public projects. Fix permission boundaries.,Security/Permissions,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
"Which deployments, which data are published to GBIF",Wallingford 2023 TODO list,15,"Which deployments, which data are published to GBIF",Data Integration,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
Citation information,Wallingford 2023 TODO list,16,Citation information,Data Management,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
Default pipelines by project/location,Wallingford 2023 TODO list,17,Default pipelines by project/location,Data Processing/Configuration,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
"Filtering based on model used (session view, occurrence view)",Wallingford 2023 TODO list,18,"Filtering based on model used (session view, occurrence view)",UI/Display,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
Occurrence tracking,Wallingford 2023 TODO list,19,Occurrence tracking,Data Management,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
"Selection of device, site, etc. in Deployment",Wallingford 2023 TODO list,20,"Selection of device, site, etc. in Deployment",UI/Data Management,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
Add multilingual localization support,Wallingford 2023 TODO list,21,Add multilingual localization support,UI/Display,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
Display Images for deployments,Wallingford 2023 TODO list,22,Display Images for deployments,UI/Display,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14/16",,,,,,,,,,,,,,,,,,,,,
Support for unknown species (clustering),Wallingford 2023 TODO list,23,Support for unknown species (clustering),Data Processing/ML,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
Quick flagging,Wallingford 2023 TODO list,24,Quick flagging,UI/Display,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
Documentation!,Wallingford 2023 TODO list,25,Documentation!,Documentation,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
