proposed_horizon,category,description,mention_count,github_refs,status,status_notes,type,size,source_rows
now-3mo,Infrastructure,"Run a ML job (Unstable, jobs stop, status not reflected correctly, crops not saved, not all captures processed)",1,#404(CLOSED); PR#286(MERGED); #1059(OPEN); PR#1046(MERGED); PR#1060(MERGED); #370(CLOSED); PR#937(MERGED); #1025(OPEN); PR#919(MERGED); #922(OPEN),partial,"2 merged PR(s): #286, #1046; 1 open: #1059; 1 closed: #404",bug,L,297
now-3mo,Infrastructure,Fix critical issues with processing service API (milestone #27),1,,untracked,No matching GitHub issues or PRs found,bug,L,309
now-3mo,Infrastructure,Processing stability / Processing v2,1,#1112(OPEN); PR#1125(MERGED); PR#1113(MERGED); #1123(OPEN); #1111(OPEN); #1085(OPEN); #1084(CLOSED); #370(CLOSED); PR#987(MERGED); #910(OPEN),partial,"2 merged PR(s): #1125, #1113; 4 open: #1112, #1123, #1111; 1 closed: #1084",improvement,XL,330
now-3mo,Infrastructure,Resizing images for the app (use prisma urls in API response),1,#419(OPEN); #729(OPEN); PR#231(MERGED); PR#76(MERGED); #593(OPEN); PR#79(MERGED); PR#146(MERGED); PR#201(MERGED); PR#688(MERGED); PR#348(MERGED),tracked,1 open: #419,feature,M,419
now-3mo,Infrastructure,Bug: Sessions not automatically created after sync,1,#904(OPEN); #872(CLOSED); PR#898(MERGED); PR#1073(MERGED); PR#1051(MERGED); PR#803(MERGED); #640(CLOSED); #387(CLOSED); PR#194(MERGED); #455(OPEN),tracked,1 open: #904; 1 closed: #872,bug,M,428
now-3mo,Infrastructure,Antenna Lite - mobile app for moth traps that automatically registers an annoynmous station,1,#439(OPEN); #418(CLOSED); #419(OPEN); PR#227(MERGED); #304(OPEN); PR#231(MERGED); #958(OPEN); PR#76(MERGED); PR#79(MERGED); PR#1002(MERGED),tracked,"2 open: #439, #419; 1 closed: #418",feature,XL,468
now-3mo,Infrastructure,Processing and job failing,1,#370(CLOSED); PR#303(MERGED); #404(CLOSED); PR#1060(MERGED); PR#268(MERGED); PR#919(MERGED); #1072(CLOSED); #922(OPEN); #782(CLOSED); PR#368(MERGED),partial,"5 merged PR(s): #303, #1060, #268; 1 open: #922; 4 closed: #370, #404",bug,L,503
now-3mo,Infrastructure,Taxa page speed (fix in progress) and Species views (too slow),1,PR#249(MERGED); PR#777(MERGED); #927(CLOSED); #825(CLOSED); PR#828(MERGED); PR#853(MERGED); #831(CLOSED); #264(CLOSED); #1045(OPEN); PR#856(MERGED),partial,"5 merged PR(s): #249, #777, #828; 1 open: #1045; 4 closed: #927, #825",bug,M,504
now-3mo,Infrastructure,Enhance user experience for large image uploads through integration with cloud services,1,#910(OPEN); #1089(OPEN); PR#202(MERGED); #226(CLOSED); #640(CLOSED); #259(CLOSED); PR#112(MERGED); PR#111(MERGED); PR#921(MERGED); PR#835(MERGED),tracked,1 open: #910,feature,L,601
now-3mo,Infrastructure,Processing Bugs (processing jobs stalling/status updates incorrect),1,#721(OPEN); PR#1062(MERGED); PR#934(MERGED); #773(CLOSED); #1072(CLOSED); PR#554(MERGED); PR#946(MERGED); #1107(OPEN); PR#178(MERGED); PR#1051(MERGED),partial,"6 merged PR(s): #1062, #934, #554; 2 open: #721, #1107; 2 closed: #773, #1072",bug,M,814
now-3mo,ML/AI,Restrict to species list (Class masking),4,#915(OPEN); PR#999(OPEN); PR#573(MERGED); PR#984(CLOSED); PR#845(OPEN),tracked,In progress: PR/issue #915,feature,M,"301, 386, 662, 678"
now-3mo,ML/AI,Order-level classifier (refinement & calibration) and size estimation,3,PR#837(MERGED); PR#814(MERGED); PR#613(MERGED); PR#845(OPEN); #774(CLOSED); PR#607(CLOSED); PR#573(MERGED); #952(OPEN); PR#840(MERGED); PR#821(MERGED),partial,Supporting infrastructure in place (11 related PRs merged),feature,L,"334, 625, 736"
now-3mo,ML/AI,"Post processing functions (small, blurry, tracking sequential detections) / Reducing noise",2,PR#837(MERGED); PR#542(MERGED); PR#484(OPEN); #457(OPEN); #1121(OPEN); #1097(OPEN); #1093(OPEN); PR#1045(OPEN); #992(OPEN); PR#1091(MERGED),partial,Supporting infrastructure in place (32 related PRs merged),feature,L,"332, 741"
now-3mo,ML/AI,"Size estimation (exposing in UI, centimeter calibration, incorporating into models)",2,PR#1029(MERGED); PR#944(MERGED); PR#840(MERGED); PR#837(MERGED); PR#814(MERGED); PR#620(MERGED); PR#613(MERGED); PR#603(MERGED); PR#602(MERGED); PR#389(MERGED),partial,Supporting infrastructure in place (10 related PRs merged),feature,L,"335, 737"
now-3mo,ML/AI,Automated Quality Filters (to auto-remove blurry/dark/tiny images),2,PR#999(OPEN); PR#954(MERGED); PR#849(MERGED); PR#890(OPEN); PR#957(CLOSED),partial,Supporting infrastructure in place (2 related PRs merged),feature,M,"338, 742"
now-3mo,ML/AI,Better Detector/Segmenter (segmentation detector/handling overlapping moths),2,#1093(OPEN); PR#1045(OPEN); #992(OPEN); PR#1091(MERGED); PR#1046(MERGED); PR#815(MERGED); PR#859(MERGED); PR#837(MERGED); PR#818(MERGED); PR#814(MERGED),partial,Supporting infrastructure in place (30 related PRs merged),feature,XL,"384, 802"
now-3mo,ML/AI,Tracking,2,#1121(OPEN); #457(OPEN); #1097(OPEN); #863(OPEN); PR#837(MERGED); PR#542(MERGED); PR#707(OPEN); PR#484(OPEN); #264(CLOSED),tracked,In progress: PR/issue #1121,feature,L,"385, 677"
now-3mo,ML/AI,Post processing functions – special sauce (small/blurry/tracking),2,#1121(OPEN); #1097(OPEN); PR#999(OPEN); #863(OPEN); PR#954(MERGED); PR#849(MERGED); PR#837(MERGED); PR#542(MERGED); PR#890(OPEN); PR#707(OPEN),partial,Supporting infrastructure in place (5 related PRs merged),feature,L,"644, 840"
now-3mo,ML/AI,Experiment with multiple models (order-level classifier object detection/clustering),1,PR#818(MERGED); #774(CLOSED); PR#815(MERGED); PR#859(MERGED); PR#837(MERGED); PR#814(MERGED); PR#798(MERGED); PR#374(MERGED); PR#845(OPEN); #412(OPEN),partial,Supporting infrastructure in place (16 related PRs merged),research,L,68
now-3mo,ML/AI,Class masking of one of the existing models,1,PR#999(OPEN); #915(OPEN); PR#573(MERGED); PR#984(CLOSED); PR#719(MERGED); #517(CLOSED),tracked,In progress: PR/issue #999,feature,M,128
now-3mo,ML/AI,Calibration (What species can we be confident about),1,PR#788(OPEN); PR#1029(MERGED); PR#944(MERGED); PR#840(MERGED); PR#837(MERGED); PR#814(MERGED); PR#620(MERGED); PR#613(MERGED); PR#603(MERGED); PR#602(MERGED),tracked,In progress: PR/issue #788,research,M,178
now-3mo,ML/AI,Training new regional models for improving results for regional species,1,PR#962(MERGED); #469(OPEN); #517(CLOSED); #490(OPEN); PR#327(MERGED),partial,Supporting infrastructure in place (2 related PRs merged),feature,L,242
now-3mo,ML/AI,Class masking to regional species checklists,1,PR#999(OPEN); #915(OPEN); PR#962(MERGED); PR#573(MERGED); #469(OPEN); PR#984(CLOSED); #517(CLOSED),partial,Supporting infrastructure in place (2 related PRs merged),feature,M,277
now-3mo,ML/AI,"Improve presented prediction results (Filtering, good defaults, post-processing)",1,PR#999(OPEN); PR#954(MERGED); PR#888(MERGED); PR#849(MERGED); PR#842(MERGED); PR#840(MERGED); PR#814(MERGED); PR#890(OPEN); PR#845(OPEN); PR#984(CLOSED),partial,Supporting infrastructure in place (6 related PRs merged),improvement,L,311
now-3mo,ML/AI,Integrate Tracking and Feature Vectors to improve prediction results,1,PR#707(OPEN); #1121(OPEN); #1097(OPEN); PR#1050(OPEN); #863(OPEN); PR#837(MERGED); PR#821(MERGED); PR#818(MERGED); PR#807(MERGED); PR#670(MERGED),partial,Supporting infrastructure in place (6 related PRs merged),feature,XL,315
now-3mo,ML/AI,Integrate an Order-Level Classifier with the option to replace the current binary classifier,1,#952(OPEN); #857(OPEN); PR#815(MERGED); PR#837(MERGED); PR#821(MERGED); PR#818(MERGED); PR#814(MERGED); PR#807(MERGED); PR#798(MERGED); PR#762(MERGED),partial,Supporting infrastructure in place (16 related PRs merged),feature,L,318
now-3mo,ML/AI,Tracking for counting (biomass estimation),1,#1121(OPEN); #1097(OPEN); #863(OPEN); PR#837(MERGED); PR#542(MERGED); PR#707(OPEN); PR#484(OPEN); #457(OPEN); #264(CLOSED); PR#818(MERGED),partial,Supporting infrastructure in place (4 related PRs merged),feature,L,336
now-3mo,ML/AI,Confidence at higher ranks (Single determination approach & New column to show predictions),1,PR#1029(MERGED); PR#944(MERGED); PR#840(MERGED); PR#837(MERGED); PR#814(MERGED); PR#712(MERGED); PR#620(MERGED); PR#613(MERGED); PR#603(MERGED); PR#602(MERGED),partial,Supporting infrastructure in place (11 related PRs merged),feature,M,423
now-3mo,ML/AI,"How to roll up to genus, higher taxon levels",1,,untracked,,research,M,470
now-3mo,ML/AI,"Roll up taxon ranks, Adapters, Temperature calibration",1,PR#1029(MERGED); PR#944(MERGED); PR#840(MERGED); PR#837(MERGED); PR#814(MERGED); PR#620(MERGED); PR#613(MERGED); PR#603(MERGED); PR#602(MERGED); PR#389(MERGED),partial,Supporting infrastructure in place (10 related PRs merged),feature,M,490
now-3mo,ML/AI,Questions threshold logic for family-level identifications,1,PR#417(MERGED); PR#241(MERGED),partial,Supporting infrastructure in place (2 related PRs merged),research,S,589
now-3mo,ML/AI,Beyond Species ID: biomass estimation/pixel-to-size calibration/tracking,1,PR#837(MERGED); #1121(OPEN); #1097(OPEN); PR#1029(MERGED); PR#944(MERGED); PR#814(MERGED); PR#620(MERGED); PR#613(MERGED); PR#603(MERGED); PR#602(MERGED),partial,Supporting infrastructure in place (11 related PRs merged),feature,XL,743
now-3mo,ML/AI,Post-Processing Functions (Class Masking/small/blurry/darkness filter),1,PR#999(OPEN); #915(OPEN); PR#954(MERGED); PR#849(MERGED); PR#573(MERGED); PR#890(OPEN); PR#984(CLOSED); PR#957(CLOSED); PR#815(MERGED); PR#706(CLOSED),partial,Supporting infrastructure in place (4 related PRs merged),feature,M,805
now-3mo,Onboarding,Ready for seamless live demonstrations,1,,untracked,No matching GitHub issues or PRs found,improvement,M,164
now-3mo,Onboarding,Implement Project Quick Start feature (MVP for auto-creating draft projects and processing data),1,,untracked,No matching GitHub issues or PRs found,feature,L,310
now-3mo,Onboarding,Quickstart designs/project (Create a quick start project),1,,untracked,No matching GitHub issues or PRs found,feature,M,488
now-3mo,Onboarding,Quick start project / demo,1,,untracked,No matching GitHub issues or PRs found,feature,M,686
now-3mo,Permissions/Auth,Reset password when not logged in (Backend configuration is incomplete maybe disable),5,#671(OPEN); PR#526(MERGED),partial,"Partially implemented in PR #526, additional work tracked in #671",bug,S,"287, 345, 501, 714, 784"
now-3mo,Permissions/Auth,Role Management UI (for Project Managers to invite members and assign roles),2,PR#727(CLOSED); PR#1078(CLOSED); PR#1030(OPEN),tracked,Tracked in #1030,feature,L,"346, 725"
now-3mo,Permissions/Auth,Bug: Sign up as new user requires admin support (currently disabled),2,,untracked,No matching GitHub items found,bug,M,"670, 728"
now-3mo,Permissions/Auth,Add Taxa model permissions to Identifier role,1,PR#851(MERGED); PR#1035(OPEN); PR#856(MERGED),partial,"Partially implemented in PR #851, additional work tracked in #1035",feature,XS,193
now-3mo,Permissions/Auth,Configure members for a project (Anna and Mohamed is currently working on this),1,,untracked,No matching GitHub items found,feature,M,289
now-3mo,Permissions/Auth,Create user interface for project managers to add new users and assign roles,1,PR#1006(OPEN); PR#727(CLOSED); PR#402(CLOSED); PR#1030(OPEN); PR#233(CLOSED),partial,"Partially implemented in PR #449, additional work tracked in #1006",feature,M,314
now-3mo,Permissions/Auth,Bug: Reset password when not logged in is unstable,1,#671(OPEN); PR#526(MERGED); PR#525(MERGED),partial,"Partially implemented in PR #526, additional work tracked in #671",bug,S,671
now-3mo,Permissions/Auth,Issue of shared credentials,1,,untracked,No matching GitHub items found,bug,M,712
now-3mo,Permissions/Auth,Sign up as new user on the platform,1,,untracked,No matching GitHub items found,bug,M,715
now-3mo,Permissions/Auth,User Account Management (re-enabling self-service sign-up),1,,untracked,No matching GitHub items found,feature,M,796
now-3mo,Permissions/Auth,Role management (what about adding new users?),1,,untracked,No matching GitHub items found,feature,M,830
now-3mo,Research,"Trait analysis, temporal patterns, biomass, higher rank information, etc",1,PR#712(MERGED); #412(OPEN),partial,Supporting infrastructure in place (1 related PRs merged),research,L,463
now-3mo,Taxonomy,Implement Global lists vs. Project lists for species,1,PR#580(MERGED); #746(OPEN); #871(OPEN),partial,"Partially implemented in PR #580, additional work tracked in #746",feature,L,10
now-3mo,Taxonomy,Mapping species from classifier output to custom lists,1,,untracked,No matching GitHub items found,feature,M,11
now-3mo,Taxonomy,Taxa list of support (makes it possible to filter on species of concern),1,PR#797(OPEN); PR#356(MERGED); #796(CLOSED); #622(CLOSED); #933(OPEN),partial,"Partially implemented in PR #356, additional work tracked in #797",feature,M,121
now-3mo,Taxonomy,Import the full list of species of concern,1,#933(OPEN); #796(CLOSED); PR#984(CLOSED); #545(OPEN); #622(CLOSED),tracked,"Tracked in multiple items: #933, #545",feature,M,122
now-3mo,Taxonomy,Corrected species list for Panama (mainly for identification of processed data),1,#933(OPEN); PR#984(CLOSED); PR#757(OPEN),tracked,"Tracked in multiple items: #933, #757",feature,S,125
now-3mo,Taxonomy,Extend the list of species if needed for labellers?,1,#933(OPEN); #545(OPEN); PR#850(MERGED),partial,"Partially implemented in PR #850, additional work tracked in #933",feature,S,133
now-3mo,Taxonomy,Missing Not Identifiable class in OOD environment,1,,untracked,No matching GitHub items found,bug,S,215
now-3mo,Taxonomy,Features for 'Species watch list' / 'species of concern' (economic concern),1,#796(CLOSED); #933(OPEN); #545(OPEN),tracked,"Tracked in multiple items: #933, #545",feature,M,246
now-3mo,Taxonomy,Ability to configure a species list,1,#933(OPEN); #545(OPEN),tracked,"Tracked in multiple items: #933, #545",feature,M,252
now-3mo,Taxonomy,Extend the list of taxa when needed (Users have to reach out when taxa are missing),1,PR#356(MERGED); #1020(OPEN); #1081(OPEN),partial,"Partially implemented in PR #356, additional work tracked in #1020",improvement,L,304
now-3mo,Taxonomy,"Bug: Can't update name, parents or tags",1,,untracked,No matching GitHub items found,bug,M,431
now-3mo,Taxonomy,Project ID required when changing name/tags of cluster,1,,untracked,No matching GitHub items found,bug,S,447
now-3mo,Taxonomy,Import new species & species images,1,#490(OPEN); #933(OPEN); #871(OPEN); PR#940(MERGED); PR#850(MERGED),partial,"Partially implemented in PR #940, additional work tracked in #490",feature,M,688
now-3mo,Taxonomy,Taxonomy Features (adding new species/project-based taxonomy),1,PR#580(MERGED); #622(CLOSED); #490(OPEN); #746(OPEN),partial,"Partially implemented in PR #580, additional work tracked in #490",feature,L,807
now-3mo,Taxonomy,Taxonomy - Mapping to algorithms (most important UI feature),1,,untracked,No matching GitHub items found,feature,M,846
now-3mo,UI/UX,Consistent saving behavior,3,,untracked,No matching GitHub issues or PRs found,bug,M,"350, 773, 857"
now-3mo,UI/UX,The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,2,PR#429(MERGED); #560(OPEN),tracked,"Tracked in #560: Add tooltips for ""score""",bug,S,"224, 451"
now-3mo,UI/UX,Tracking Progress: Knowing what's been processed/verified,2,,untracked,No matching GitHub issues or PRs found,feature,M,"355, 646"
now-3mo,UI/UX,Filtering by what has been vetted,1,#1032(OPEN); PR#841(MERGED); #615(CLOSED),tracked,Tracked in #1032: Better display backend filter errors,feature,S,4
now-3mo,UI/UX,Display Top 3 labels with confidence score/uncertainty measures,1,,untracked,No matching GitHub issues or PRs found,feature,S,63
now-3mo,UI/UX,Display top N predictions,1,,untracked,No matching GitHub issues or PRs found,feature,S,95
now-3mo,UI/UX,Good defaults & presets - hiding noise lower quality results,1,,untracked,No matching GitHub issues or PRs found,improvement,M,158
now-3mo,UI/UX,Hide occurrences if missing detections,1,PR#214(MERGED); PR#126(MERGED); PR#1058(MERGED); #1093(OPEN),tracked,Tracked in #1093: Add null detections test; update save_results,bug,S,214
now-3mo,UI/UX,Make detection box directly clickable,1,PR#214(MERGED); PR#126(MERGED); #1093(OPEN),tracked,Tracked in #1093: Add null detections test; update save_results,feature,S,571
now-3mo,UI/UX,Make all detections visible,1,PR#214(MERGED); PR#126(MERGED); #1093(OPEN),tracked,Tracked in #1093: Add null detections test; update save_results,feature,S,572
next-6mo,Analytics/Viz,"How can we highlight anomalies in the capture images (out of schedule, short schedule, strange dates, mixed resolution images)",2,,untracked,No matching GitHub issues or PRs found,feature,M,"221, 448"
next-6mo,Analytics/Viz,Showing some evaluation & statistics within the UI,2,,untracked,No matching GitHub issues or PRs found,feature,M,"645, 841"
next-6mo,Analytics/Viz,Stats metrics & charts for validation quality control and improving models,1,,untracked,No matching GitHub issues or PRs found,feature,L,111
next-6mo,Analytics/Viz,Currently 'Captures per hour' is total cumulative captures from all nights on a given night,1,,untracked,No matching GitHub issues or PRs found,documentation,XS,234
next-6mo,Analytics/Viz,Filter charts by a given year - to view whole season (Seasonal flight over the year),1,,untracked,No matching GitHub issues or PRs found,feature,S,239
next-6mo,Analytics/Viz,X-axis for Seasonal flight charts should use dates,1,,untracked,No matching GitHub issues or PRs found,improvement,S,240
next-6mo,Analytics/Viz,Address caveat: dynamic charts only show what is processed (but make it look like everything is processed),1,,untracked,No matching GitHub issues or PRs found,bug,M,241
next-6mo,Analytics/Viz,Default charts feature,1,,untracked,No matching GitHub issues or PRs found,feature,M,255
next-6mo,Analytics/Viz,Some basic analysis built in to compare these species of interest,1,,untracked,No matching GitHub issues or PRs found,feature,M,256
next-6mo,Analytics/Viz,Michael to assist with analysis and charts for new paper,1,,untracked,No matching GitHub issues or PRs found,improvement,M,263
next-6mo,Analytics/Viz,Show evalutation stats while validating,1,,untracked,No matching GitHub issues or PRs found,feature,M,305
next-6mo,Analytics/Viz,Configure overview stats for a project (Needs more information and user discussions),1,,untracked,No matching GitHub issues or PRs found,feature,L,306
next-6mo,Analytics/Viz,See charts for troubleshooting (not analysis) (Needs more information and user discussions),1,,untracked,No matching GitHub issues or PRs found,feature,M,307
next-6mo,Analytics/Viz,Showing some evaluation & statistics within the UI / Summary metrics as you go,1,,untracked,No matching GitHub issues or PRs found,feature,M,353
next-6mo,Analytics/Viz,Default to order level & wider metrics,1,,untracked,No matching GitHub issues or PRs found,improvement,S,354
next-6mo,Analytics/Viz,Visualizations / aggregation (flight charts) BUT need to only show results we are confident for,1,,untracked,No matching GitHub issues or PRs found,feature,M,393
next-6mo,Analytics/Viz,Continue to maintain and enhance automatic visualizations and data organization features,1,,untracked,No matching GitHub issues or PRs found,improvement,L,556
next-6mo,Analytics/Viz,Features for data analysis: Flight charts and maps with data,1,,untracked,No matching GitHub issues or PRs found,feature,L,633
next-6mo,Analytics/Viz,The ability to see where the problems are happening,1,,untracked,No matching GitHub issues or PRs found,feature,M,689
next-6mo,Analytics/Viz,Summary metrics as you go (for troubleshooting/improving results),1,,untracked,No matching GitHub issues or PRs found,feature,M,738
next-6mo,Analytics/Viz,Time series images (specific automated captured),1,,untracked,No matching GitHub issues or PRs found,feature,M,866
next-6mo,Data-Management,Importing - Captures (import a list of public HTTP urls),2,PR#203(MERGED); PR#292(MERGED); #622(CLOSED); PR#838(MERGED); #796(CLOSED); #393(CLOSED); #998(CLOSED); PR#247(MERGED); #984(CLOSED); #1037(OPEN),partial,"4 merged PR(s): #203, #292, #838; 1 open: #1037; 5 closed: #622, #796",feature,M,"749, 855"
next-6mo,Data-Management,Develop a Data connector app (MVP feature),1,PR#79(MERGED); PR#983(MERGED); PR#76(MERGED); #485(CLOSED); PR#201(MERGED); #1078(CLOSED); PR#944(MERGED); PR#918(MERGED); PR#688(MERGED); #1106(OPEN),partial,"7 merged PR(s): #79, #983, #76; 1 open: #1106; 2 closed: #485, #1078",feature,L,19
next-6mo,Data-Management,Define if collections are reusable (design question),1,PR#636(MERGED); #730(OPEN); #716(CLOSED); #297(CLOSED); PR#375(MERGED); PR#300(MERGED); #451(OPEN); PR#1067(MERGED); PR#283(MERGED); PR#800(MERGED),partial,"6 merged PR(s): #636, #375, #300; 2 open: #730, #451; 2 closed: #716, #297",design,S,25
next-6mo,Data-Management,Implement default or automatic collections,1,PR#300(MERGED); PR#636(MERGED); #730(OPEN); #716(CLOSED); #297(CLOSED); PR#375(MERGED); #451(OPEN); PR#1067(MERGED); PR#283(MERGED); PR#800(MERGED),partial,"6 merged PR(s): #300, #636, #375; 2 open: #730, #451; 2 closed: #716, #297",feature,S,45
next-6mo,Data-Management,Clarify the term Collections with alternatives like Sample set Lists Datasets,1,#730(OPEN); PR#636(MERGED); #716(CLOSED); #297(CLOSED); PR#283(MERGED); PR#375(MERGED); PR#300(MERGED); #639(OPEN); #451(OPEN); PR#1067(MERGED),partial,"5 merged PR(s): #636, #283, #375; 3 open: #730, #639, #451; 2 closed: #716, #297",design,XS,70
next-6mo,Data-Management,Registration & map of camera deployments (metadata),1,#413(OPEN); PR#492(MERGED); PR#152(MERGED); #446(OPEN); #400(CLOSED); PR#690(MERGED); #343(CLOSED); #258(OPEN); PR#158(MERGED); #611(OPEN),partial,"4 merged PR(s): #492, #152, #690; 4 open: #413, #446, #258; 2 closed: #400, #343",feature,M,84
next-6mo,Data-Management,Occurrence tracking,1,#457(OPEN); PR#1058(MERGED); PR#665(MERGED); PR#488(MERGED); PR#126(MERGED); PR#659(MERGED); PR#214(MERGED); PR#429(MERGED); #832(OPEN); #833(CLOSED),partial,"7 merged PR(s): #1058, #665, #488; 2 open: #457, #832; 1 closed: #833",feature,M,101
next-6mo,Data-Management,Help renaming files from new camera,1,PR#230(MERGED); PR#325(MERGED); PR#366(MERGED); #258(OPEN); PR#158(MERGED); PR#1068(MERGED); PR#1065(MERGED); PR#1002(MERGED); PR#690(MERGED); PR#492(MERGED),partial,"9 merged PR(s): #230, #325, #366; 1 open: #258",improvement,XS,149
next-6mo,Data-Management,Label each SD card with tape them and label them,1,#562(OPEN); PR#909(MERGED); PR#379(MERGED); #879(OPEN); #878(OPEN); #687(OPEN); #640(CLOSED); #242(CLOSED); PR#1114(MERGED); PR#961(MERGED),partial,"2 merged PR(s): #909, #379; 4 open: #562, #879, #878; 2 closed: #640, #242",documentation,XS,197
